,text,labels
0,"The United Nations has warned of a possible humanitarian catastrophe in Somalia , which has not had a functioning central government in 17 years .",O B-org I-org O O O O O O O O B-geo O O O O O O O O O O B-tim O O
1,"The presumptive Republican presidential nominee , John McCain , is campaigning Tuesday in Texas , where the veteran Arizona lawmaker is to call for the lifting of a ban on offshore U.S. oil and natural gas exploration .",O O O O O O B-per I-per O O O B-tim O B-geo O O O O B-geo O O O O O O O O O O O O B-geo O O O O O O
2,Iraqi police said a suicide car bomber has killed 10 people in Kirkuk .,B-gpe O O O O O O O O O O O B-geo O
3,"In Beijing Thursday , the French president presided over the signing of 13 deals between French and Chinese businesses .",O B-geo B-tim O O B-gpe O O O O O O O O O B-gpe O B-gpe O O
4,Palestinian sources say two police officers have been killed and several others wounded in an explosion in the northern Gaza Strip that destroyed a building used by Palestinian security forces .,B-gpe O O O O O O O O O O O O O O O O O O B-geo I-geo O O O O O O B-gpe O O O
5,"In a separate development , Xinhua says authorities have evacuated about 13,000 people from their homes in central China along a tributary of the Yangtze River .",O O O O O B-org O O O O O O O O O O O O B-geo O O O O O B-org I-org O
6,"Bird flu has spread from Asia to Europe , Africa and the Mideast , killing 94 people since 2003 .",O O O O O B-geo O B-geo O B-geo O O B-geo O O O O B-tim I-tim O
7,VOA 's Mandy Clark reports .,B-org O B-per I-per O O
8,Somalia 's exiled Islamist opposition is rejecting peace talks with the government that began in Djibouti on Tuesday .,B-geo O O O O O O O O O O O O O O B-geo O B-tim O
9,"Abbott denied the overpricing charges , and said Brazil 's plans were illegal .",B-org O O O O O O O B-geo O O O O O
10,"The two leaders spoke one week before a scheduled EU summit , at which European leaders are expected to approve membership negotiations with Turkey and to set a date for the talks .",O O O O B-tim O O O O B-org O O O O O O O O O O O O O B-org O O O O O O O O O
11,The two Koreas have announced special prisoner amnesties to mark the 60th anniversary of the liberation of the peninsula from Japanese colonial rule .,O O O O O O O O O O O B-tim O O O O O O O O B-gpe O O O
12,Thousands more have been admitted to hospitals for severe diarrhea .,O O O O O O O O O O O
13,"Authorities said Wednesday , the attacks occurred late Tuesday in Helmand province .",O O B-tim O O O O O B-tim O B-geo O O
